path	relative_to	method	data_type	cohort	modality	source
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Exc/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_Kellis/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Exc_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Exc_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Exc_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Exc_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Exc/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_mega/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Exc/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_mega/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Exc/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_mega/Exc	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Inh_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Inh_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Inh_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Inh_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Inh/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_DeJager/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Inh/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_DeJager/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Inh/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_DeJager/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Inh_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Inh_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Inh/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_Kellis/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Inh/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_Kellis/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Inh/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_Kellis/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Inh_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Inh_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Inh_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Inh_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Inh/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_mega/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Inh/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_mega/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Inh/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_mega/Inh	FunGen-xQTL release (Synapse syn68872650)
analysis_result/finemapping_twas/fsusie/export/summary/context_specific/KnightADRC_mQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	fSuSiE_finemapping	mQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/KNIGHT_eQTL/export/summary/context_specific/Knight_eQTL_brain.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/KNIGHT/eQTL/Brain/LR/	AD_LOCI_ROOT	LR	eQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/KNIGHT/eQTL/Brain/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/KNIGHT_pQTL/export/summary/context_specific/Knight_pQTL_brain.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	pQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/KNIGHT/pQTL/Brain/LR/	AD_LOCI_ROOT	LR	pQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/KNIGHT/pQTL/Brain/interaction/msex/	AD_LOCI_ROOT	msex interaction	pQTL	KNIGHT	Brain	FunGen-xQTL release (Synapse syn68872650)
